winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt,champion
false,14,3110,3111,1057,0,3207,0,3340,1,0,0,0,0,0,0,5,4,109434,5437,23775,0,3628,34,74,69,5,7799,7290,0,0,0,0,4598,680,158,3,3,77966,21281,10186,10045,13595,134,false,false,false,false,false,false,0,1,12,3,1,0,1,631,Amumu 
false,16,3209,3068,3111,3134,3190,0,3340,3,0,0,0,0,0,2,6,13,150236,14280,24413,0,5379,49,95,87,8,10836,10997,0,0,0,0,1299,11790,1189,0,4,17205,117161,15869,8527,15542,343,false,false,false,false,false,false,0,1,13,0,1,1,1,152,Wukong 
false,13,3209,3111,3134,1011,0,0,3340,1,0,0,0,0,0,0,9,4,93580,7246,21067,0,2944,37,54,49,5,7003,6152,0,0,0,0,329,6135,781,0,4,5786,78230,9564,5792,14478,796,false,false,false,false,false,false,0,0,8,0,1,0,1,51,Wukong 
true,18,3091,3153,3075,3068,3047,1055,3340,9,1,0,0,0,0,4,3,6,178389,25919,26132,0,1237,231,8,4,4,15424,13070,0,0,0,0,13686,11240,992,0,2,97317,80080,992,7194,17634,1303,true,false,true,false,false,false,1,2,6,1,2,2,1,38,Shyvana 
false,14,1055,3046,3031,1055,3006,1037,3340,4,1,0,0,0,0,3,5,9,133258,21326,15968,606,2476,194,14,14,0,10669,9635,0,0,0,0,530,20796,0,0,0,933,132324,0,6184,9729,55,false,false,false,false,false,false,0,1,5,1,2,1,4,62,Jinx 
false,12,3206,3157,3020,0,0,0,3340,5,0,0,0,0,0,2,9,2,76095,8622,21142,0,7826,25,58,56,2,7468,7050,0,0,0,0,8298,284,40,1,6,61386,8230,6478,4557,14814,1771,false,false,false,false,false,false,0,0,13,0,1,2,1,325,Fiddlesticks 
true,14,3207,2044,3025,3105,3111,0,3340,6,2,0,0,0,0,3,6,11,88849,11972,19804,0,846,22,57,52,5,9699,8780,0,0,0,0,4090,6761,1120,1,3,21429,48517,18902,10210,9514,79,false,false,false,false,false,true,0,1,6,0,2,2,1,726,Skarner 
false,18,3102,3153,3190,3265,3068,3091,3340,8,0,0,0,0,0,3,10,23,240082,41030,55936,0,7251,298,19,11,8,20010,16480,0,0,0,0,24130,14508,2392,0,2,151334,85972,2776,14603,39186,2146,false,false,true,false,false,false,1,1,14,1,1,2,1,151,Shyvana 
true,18,3068,3190,0,3265,3025,3207,3340,6,0,0,0,0,0,2,5,14,155390,12157,32608,0,907,29,87,69,18,14426,13135,0,0,0,0,5373,6018,766,5,3,41176,78004,36208,11276,18256,3075,false,false,false,true,false,true,0,1,20,3,1,1,1,1463,Skarner 
false,14,3207,3047,0,3105,1011,1031,3340,4,0,0,0,0,0,3,3,7,72893,6130,21922,0,0,55,34,33,1,8254,6970,0,0,0,0,4328,1420,382,0,0,46153,15553,11186,9231,11383,1307,false,false,false,true,false,false,0,0,4,0,1,1,0,429,Sejuani 
true,18,3151,3157,2049,3001,3020,3303,3340,5,0,0,0,0,0,2,3,10,118149,17097,22532,0,8794,97,18,10,8,14142,11530,0,0,0,0,15978,411,708,1,5,108313,9127,708,9272,12409,851,true,false,false,false,false,false,0,0,37,1,1,1,1,409,Fiddlesticks 
false,15,1055,3031,3046,3006,3035,0,3340,10,1,0,0,0,0,5,5,3,128829,18564,18193,601,2648,181,12,12,0,11779,11045,0,0,0,0,432,17772,360,2,3,734,127592,502,8664,9216,312,true,false,true,false,false,false,0,2,10,2,2,2,3,154,Jinx 
