winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
false,16,3709,3071,1324,3211,3742,1011,3364,2,0,0,0,0,0,0,8,17,191794,19752,56540,0,17941,24,101,81,20,13076,12300,0,0,0,0,6000,11498,2252,0,0,62856,113717,15220,12641,39440,4458,false,false,false,false,false,false,0,1,3,8,1,0,1,697 
false,6,2049,3706,1036,1001,1028,1028,3340,1,0,0,0,0,0,0,3,0,33917,3223,9931,0,1838,1,33,29,4,3363,3275,0,0,0,0,898,1998,326,0,0,8421,22507,2988,1949,7855,127,false,false,false,false,false,false,0,0,7,0,1,0,1,257 
true,12,3709,3111,3211,3071,1028,1029,3341,5,0,0,0,0,0,5,0,6,115591,10555,22468,0,8117,15,75,59,16,8899,8490,0,0,0,0,3401,5919,1233,0,0,38934,67707,8949,1734,20506,227,false,false,false,false,false,false,0,0,4,0,1,1,1,768 
false,13,3709,1324,3211,3044,3082,3067,3341,2,0,0,0,0,0,2,1,7,134298,8652,24887,0,9873,20,85,67,18,9393,8575,0,0,0,0,3796,4147,708,0,0,50835,73890,9572,5056,19678,152,false,false,false,false,false,false,0,1,7,1,1,1,1,741 
true,12,3190,3709,3111,3211,0,0,3341,1,0,0,0,0,0,0,0,4,109436,4605,16857,0,7082,20,79,60,19,7825,7570,0,0,0,0,1489,2421,695,1,0,41959,59646,7831,2639,14141,76,false,false,false,false,false,false,0,0,3,4,1,0,1,528 
false,14,3709,1324,3742,3044,3211,3082,3341,3,0,0,0,0,0,0,10,17,128512,16867,48672,0,12001,33,71,64,7,10585,10505,0,0,0,0,4658,10536,1672,1,0,46137,73796,8577,13690,34275,706,false,false,false,false,false,false,0,0,5,2,1,0,1,419 
true,16,3709,3111,3742,3071,3211,1011,3341,3,0,0,0,0,0,0,4,16,178359,18966,44904,0,13278,36,98,75,23,12909,11975,0,0,0,0,6663,10613,1688,1,0,60383,105708,12266,10336,33009,1557,false,false,false,false,false,false,0,0,9,4,1,0,1,583 
false,17,3709,3047,3211,3071,3742,3075,3364,1,0,0,0,0,0,0,9,14,209445,13415,53391,0,11768,66,108,93,15,12952,12855,0,0,0,0,5602,5921,1891,0,0,69539,123591,16315,7810,37266,8314,false,false,false,false,false,false,0,0,6,5,1,0,1,575 
false,11,3709,3044,1033,3047,3067,1028,3341,1,0,0,0,0,0,0,6,3,95314,6068,26767,0,6204,9,72,69,3,6672,6550,0,0,0,0,2466,2974,627,1,0,35200,53980,6134,5550,20164,1052,false,false,false,false,false,false,0,0,6,0,1,0,1,338 
true,16,2049,3143,3709,3047,3742,3211,3364,3,0,0,0,0,0,2,5,13,148824,13133,41199,0,12170,36,80,56,24,12518,11490,0,0,0,0,5642,6132,1358,0,0,49765,87714,11344,12216,28096,887,false,false,false,false,false,true,0,1,42,5,1,1,1,984 
false,11,3709,3111,3211,1029,1011,0,3340,2,0,0,0,0,0,0,4,3,82747,8434,22345,0,5190,4,65,62,3,6662,6055,0,0,0,0,3400,4141,893,0,0,32420,43178,7149,7515,14562,268,false,false,false,false,false,false,0,0,7,0,1,0,1,1708 
false,8,3707,2003,1001,1036,0,0,3340,1,0,0,0,0,0,0,1,0,50978,1175,7737,0,2905,14,44,41,3,3739,3005,0,0,0,0,84,973,117,0,0,9370,37097,4510,218,7475,44,false,false,false,false,false,false,0,0,3,0,1,0,1,348 
true,16,1057,3068,3075,3047,1011,3065,3340,2,0,0,0,0,0,0,3,8,144668,17373,24396,0,8984,215,11,6,5,11052,11050,0,0,0,0,7918,9106,347,0,0,49214,92050,3402,6266,14881,3249,false,false,false,false,false,true,0,2,10,0,1,0,1,220 
false,11,3709,1028,3047,1011,1031,1031,3340,2,0,0,0,0,0,0,3,3,81300,6953,16231,0,3536,18,59,55,4,6736,6220,0,0,0,0,2620,3760,572,0,0,30496,44983,5821,2482,13071,678,false,false,false,false,false,false,0,0,6,1,1,0,1,367 
true,18,3709,1319,3071,3102,3742,3026,3341,11,1,0,0,0,0,3,7,19,215879,27672,53279,0,14861,70,92,81,11,16988,17365,0,0,0,0,5502,19013,3156,0,0,33084,168528,14266,15137,35502,2639,false,false,false,false,false,false,0,0,7,6,2,4,1,774 
true,16,3709,1324,3211,3742,3143,3067,3341,3,0,0,0,0,0,0,5,18,165934,14218,41322,0,16834,34,82,67,15,12435,11600,0,0,0,0,5255,7578,1384,0,0,54346,98828,12759,7778,30952,2590,false,false,false,false,false,true,0,0,4,4,1,0,1,574 
true,10,3709,2003,2049,3105,1001,0,3341,1,0,0,0,0,0,0,1,7,74902,5844,15560,0,3912,15,55,45,10,6680,5285,0,0,0,0,2209,3053,581,1,0,24756,44382,5763,1651,13605,303,false,false,false,false,false,false,0,0,18,2,1,0,1,429 
false,13,3190,3709,3111,0,1031,0,3341,2,0,0,0,0,0,0,5,3,115715,8121,24579,0,6886,33,76,74,2,8301,7260,0,0,0,0,3087,4472,561,1,0,42014,62495,11205,3315,20997,266,false,false,false,false,false,false,0,0,6,8,1,0,1,513 
true,13,3190,3111,3709,3742,2003,0,3341,6,0,0,0,0,0,4,2,11,119265,12294,31140,0,8212,14,72,62,10,10612,9695,0,0,0,0,4357,6338,1598,2,0,44938,65018,9308,7627,23163,349,false,false,false,false,false,false,0,0,7,8,1,1,1,517 
true,14,3748,3709,3111,1031,1011,1029,3341,3,0,0,0,0,0,0,5,10,142099,11288,27623,0,7926,31,73,53,20,10769,8975,0,0,0,0,2542,7834,912,0,0,37369,96396,8333,4352,21525,1745,false,false,false,false,false,true,0,1,6,4,1,0,1,526 
false,18,3748,1324,3156,3709,3742,3211,3361,9,1,0,0,0,0,3,11,12,228161,26777,59307,0,10297,30,107,67,40,17113,16962,0,0,0,0,6034,18628,2115,0,0,54372,156226,17561,23447,32775,3084,false,false,false,false,false,false,0,1,29,2,2,3,1,783 
true,16,3143,1319,3742,3075,3709,1036,3341,5,0,0,0,0,0,4,5,8,162114,14166,38093,0,13501,21,91,75,16,12137,12110,0,0,0,0,5320,7080,1765,1,0,57726,94532,9854,5277,28911,3904,false,false,false,false,false,false,1,0,8,2,1,1,1,555 
false,12,3709,3742,3082,3111,2003,1028,3364,2,0,0,0,0,0,0,6,9,114509,8822,25425,0,6613,33,72,65,7,8569,8260,0,0,0,0,2837,5132,852,1,0,41587,66628,6294,4137,20721,566,false,false,false,false,false,false,0,0,7,8,1,0,1,297 
