winner,champLevel,item0,item1,item2,item3,item4,item5,item6,kills,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,largestKillingSpree,deaths,assists,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,largestCriticalStrike,totalHeal,minionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,goldEarned,goldSpent,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,visionWardsBoughtInGame,sightWardsBoughtInGame,magicDamageDealt,physicalDamageDealt,trueDamageDealt,magicDamageTaken,physicalDamageTaken,trueDamageTaken,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,inhibitorKills,towerKills,wardsPlaced,wardsKilled,largestMultiKill,killingSprees,totalUnitsHealed,totalTimeCrowdControlDealt
false,16,3165,3116,3285,1056,3158,1026,3363,3,0,0,0,0,0,2,8,8,161622,32567,25840,0,3831,211,1,0,1,11894,12345,0,0,0,0,21035,2888,8643,2,0,94259,15771,51592,13939,11122,778,false,false,false,false,false,false,0,0,13,5,1,1,1,258 
true,14,3165,1056,3001,3158,1056,3116,3363,6,0,0,0,0,0,4,3,10,97829,17573,11819,0,3160,149,7,2,5,10760,10325,0,0,0,0,11358,2598,3617,3,0,54842,15680,27307,7466,4048,304,true,false,false,false,false,false,0,2,13,1,1,1,1,106 
false,14,1082,3116,3158,1056,3165,1026,3363,4,0,0,0,0,0,2,5,5,116854,22958,18020,0,3052,190,1,0,1,9955,8780,0,0,0,0,13802,2975,6180,2,0,63313,17580,35960,7036,10137,846,true,false,false,false,false,false,0,0,8,5,1,1,1,288 
true,15,3285,1056,3165,1056,3158,1058,3363,3,1,0,0,0,0,2,3,8,121941,13258,12412,0,3492,194,6,1,5,11139,8875,0,0,0,0,8521,1891,2845,1,0,67827,20971,33142,2604,9326,480,false,false,false,false,false,false,0,1,10,1,2,1,1,58 
false,15,2043,3285,3135,3001,3158,1056,3363,6,0,0,0,0,0,4,5,4,136927,21040,17841,0,2676,204,6,6,0,11271,11325,0,0,0,0,15008,726,5305,3,0,80941,13568,42417,7888,9508,443,false,false,false,false,false,false,0,1,14,5,1,1,1,39 
false,13,1056,3116,3001,1056,3158,1026,3363,2,0,0,0,0,0,0,5,4,95116,15287,13319,0,1858,173,2,2,0,8619,8525,0,0,0,0,9345,1618,4323,3,0,51916,14807,28392,6985,5196,1138,true,false,false,false,false,false,0,0,11,1,1,0,1,202 
false,18,1333,3157,3116,3089,3285,3135,3363,4,0,0,0,0,0,2,7,15,373663,30382,34850,0,7998,406,20,13,7,20474,19350,0,0,0,0,22071,1913,6397,2,0,235730,32859,105074,17417,16729,704,false,false,false,false,false,false,1,1,19,13,1,2,1,2104 
false,18,3001,3135,3285,3089,1333,3116,3363,11,1,0,0,0,0,6,8,13,254446,45629,35137,0,8353,260,22,22,0,18641,18925,0,0,0,0,30224,3522,11882,3,0,163476,27838,63129,15023,19607,507,false,false,false,false,false,true,0,2,16,9,2,2,1,1067 
true,18,3165,3135,3001,3158,1058,3089,3363,7,0,0,0,0,0,2,8,12,220389,26450,27901,0,7528,278,4,4,0,16990,14925,0,0,0,0,18001,1908,6540,5,0,129973,26951,63463,11983,15088,829,false,false,false,false,false,false,0,4,18,15,1,3,1,111 
false,13,1056,3285,1056,3158,1058,3191,3363,3,0,0,0,0,0,0,5,5,90734,16094,14541,0,2282,152,3,3,0,8452,7750,0,0,0,0,10614,2033,3447,2,0,54016,11242,25475,5249,8807,484,false,false,false,false,false,false,0,0,10,3,1,0,1,64 
true,15,1056,3041,1026,3027,3158,3116,3363,6,0,0,0,0,0,3,3,7,142043,16771,21103,0,5266,197,6,2,4,12517,10425,0,0,0,0,10320,1880,4569,1,0,76344,24208,41490,11718,9261,124,false,false,false,false,true,false,1,2,14,2,1,1,1,409 
true,16,3001,3165,3089,1056,3158,1052,3363,10,0,0,0,0,0,4,3,9,164042,24571,13236,0,3603,211,11,7,4,14012,11335,0,0,0,0,16983,2467,5120,4,0,89939,33193,40909,6742,6406,88,false,false,false,false,true,false,1,2,10,4,1,2,1,119 
true,16,1056,3041,1026,3027,3158,3116,3363,5,1,0,0,0,0,4,1,10,139956,19172,18711,0,4727,207,1,0,1,12231,10960,0,0,0,0,12556,2427,4188,1,0,75785,22403,41766,5517,12172,1021,false,false,false,false,false,true,0,2,8,2,2,1,1,424 
true,16,3030,3158,3165,3116,1026,1056,3363,5,0,0,0,0,0,2,4,13,144336,18982,19155,0,5436,184,15,12,3,13059,11675,0,0,0,0,12266,1813,4902,1,0,87178,16623,40533,3743,15411,0,false,false,false,false,false,false,0,4,9,4,1,2,1,323 
